,Feature_0,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7
CEP,0.6303201252399072,3.221996482870365,4.308491389660263,3.235236048156617,3.990208614085739,3.264677510078272,3.7799859234248876,53.946999968976826
DSCT,1.2826091766254533,0.08650094830670477,5.655541651585789,3.17031178387829,5.5360180429393,4.503530861423991,5.419333077373448,2.031958217313562
EB,1.32346076517394,0.3316551198068832,3.1351692339631594,3.1310602785855552,3.1319592674992083,3.148539490725786,3.1220759897610644,0.06250296587190296
RRL,1.0498956099222672,0.5525995405733668,5.316621380104894,2.6047071000123285,5.107333040523783,2.286368656836145,5.009662651675046,4.357724566166537
