,Feature_0,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10
CEP,0.24580916809128922,0.3360778997137052,2.3621263782152417,0.10801536550430804,274.7337901276513,1.4586694996273593,1.7301016955847905,1.4671625578673952,1.7356691820437755,506.4215779378955,685335.6006082612
DSCT,0.5119818007817677,0.6520445220647051,0.042184391051588686,0.06375023384508406,268.8895280648849,1.1370987254123408,1.6742444507320025,1.3660657413878763,1.8009336110891558,26.547624586072114,1881296900.6173277
EB,0.5457209853312562,0.5878471652454189,2.4939902455971135,0.07271846495301124,228.20316233291092,1.1114300500810599,1.6501664937156002,1.2230014528498225,1.6618599131245586,1.9822665806703668,15000.773667069996
RRL,0.32576911125856695,0.2826977645960811,0.1494448361472561,0.10212179735718772,307.73966104124275,0.3819097857007126,1.9522049179852845,0.44754294634040304,2.0617597355554436,10.306936748134353,32432793121.083313
