feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
"(0, 1, 3, 5, 6, 7, 9, 10, 11)",[0.94838031 0.93912125 0.93651172 0.93418309 0.94130539],0.9399003516162432,"('Harmonics_phase_2_i', 'SPM_A_Y', 'r-i', 'Period_band_i', 'Harmonics_phase_2_z', 'Harmonics_phase_4_i', 'g-r', 'Harmonics_phase_2_r', 'Power_rate_4')",0.006261377809417144,0.004871564657164258,0.0024357823285821286
"(0, 1, 3, 5, 6, 7, 8, 9, 10, 11)",[0.94845536 0.93735063 0.93455022 0.93616398 0.93563209],0.9384304573984512,"('Harmonics_phase_2_i', 'SPM_A_Y', 'r-i', 'Period_band_i', 'Harmonics_phase_2_z', 'Harmonics_phase_4_i', 'delta_period_i', 'g-r', 'Harmonics_phase_2_r', 'Power_rate_4')",0.006545869837250365,0.005092909120031979,0.0025464545600159894
"(0, 1, 5, 6, 9, 11)",[0.94155041 0.94697966 0.92759692 0.94285697 0.93053917],0.9379046276425012,"('Harmonics_phase_2_i', 'SPM_A_Y', 'Period_band_i', 'Harmonics_phase_2_z', 'g-r', 'Power_rate_4')",0.009629780864512104,0.007492296670748376,0.003746148335374188
"(0, 1, 3, 5, 9, 10, 11)",[0.95399748 0.93736157 0.92945249 0.92692163 0.93958666],0.9374639630067383,"('Harmonics_phase_2_i', 'SPM_A_Y', 'r-i', 'Period_band_i', 'g-r', 'Harmonics_phase_2_r', 'Power_rate_4')",0.01223658938467106,0.009520482262057262,0.00476024113102863
"(1, 3, 5, 6, 9, 10, 11)",[0.95560538 0.94074507 0.91975644 0.92929984 0.94146837],0.9373750214539787,"('SPM_A_Y', 'r-i', 'Period_band_i', 'Harmonics_phase_2_z', 'g-r', 'Harmonics_phase_2_r', 'Power_rate_4')",0.015594785421477318,0.01213327286864379,0.006066636434321894
"(0, 1, 3, 5, 6, 9, 11)",[0.94504845 0.93882025 0.92354577 0.9482397  0.93049076],0.9372289854844007,"('Harmonics_phase_2_i', 'SPM_A_Y', 'r-i', 'Period_band_i', 'Harmonics_phase_2_z', 'g-r', 'Power_rate_4')",0.011745419418424378,0.009138335341513804,0.004569167670756902
"(0, 1, 5, 6, 7, 9, 11)",[0.93977411 0.94527947 0.92701262 0.94079585 0.93238052],0.9370485150445347,"('Harmonics_phase_2_i', 'SPM_A_Y', 'Period_band_i', 'Harmonics_phase_2_z', 'Harmonics_phase_4_i', 'g-r', 'Power_rate_4')",0.008363863669112662,0.0065073700849849,0.00325368504249245
"(1, 3, 5, 6, 7, 9, 10, 11)",[0.94844411 0.93674643 0.92901612 0.93287851 0.93374658],0.9361663505093162,"('SPM_A_Y', 'r-i', 'Period_band_i', 'Harmonics_phase_2_z', 'Harmonics_phase_4_i', 'g-r', 'Harmonics_phase_2_r', 'Power_rate_4')",0.008503747990938825,0.006616204839737252,0.003308102419868626
"(0, 1, 3, 5, 8, 9, 10)",[0.95759405 0.92821254 0.93345973 0.92702668 0.93251002],0.935760603046633,"('Harmonics_phase_2_i', 'SPM_A_Y', 'r-i', 'Period_band_i', 'delta_period_i', 'g-r', 'Harmonics_phase_2_r')",0.014379351687911546,0.011187624131290982,0.00559381206564549
"(0, 1, 3, 5, 6, 9, 10, 11)",[0.94638723 0.933419   0.92916912 0.93081596 0.93762234],0.9354827316087272,"('Harmonics_phase_2_i', 'SPM_A_Y', 'r-i', 'Period_band_i', 'Harmonics_phase_2_z', 'g-r', 'Harmonics_phase_2_r', 'Power_rate_4')",0.007910242877630801,0.0061544376980884755,0.0030772188490442373
