feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
"(1, 2, 3, 4, 8, 9, 10, 11)",[0.90967451 0.89038528 0.88195434 0.90281    0.91746172],0.9004571672886279,"('SPM_A_Y', 'Multiband_period', 'r-i', 'i-z', 'delta_period_i', 'g-r', 'Harmonics_phase_2_r', 'Power_rate_4')",0.01649431889438195,0.012833140470938555,0.006416570235469277
"(0, 1, 2, 3, 8, 9, 10, 11)",[0.89724308 0.90310354 0.88338552 0.90654755 0.91152535],0.9003610073624351,"('Harmonics_phase_2_i', 'SPM_A_Y', 'Multiband_period', 'r-i', 'delta_period_i', 'g-r', 'Harmonics_phase_2_r', 'Power_rate_4')",0.012439142845184019,0.009678075735803114,0.004839037867901556
"(1, 2, 3, 4, 5, 8, 9, 10, 11)",[0.90967451 0.89038528 0.88023321 0.90281    0.91746172],0.9001129406707016,"('SPM_A_Y', 'Multiband_period', 'r-i', 'i-z', 'Period_band_i', 'delta_period_i', 'g-r', 'Harmonics_phase_2_r', 'Power_rate_4')",0.017143188620320028,0.013337983162147769,0.0066689915810738834
"(0, 1, 2, 3, 5, 8, 9, 10, 11)",[0.89724308 0.90310354 0.88170389 0.90654755 0.91152535],0.9000246811963327,"('Harmonics_phase_2_i', 'SPM_A_Y', 'Multiband_period', 'r-i', 'Period_band_i', 'delta_period_i', 'g-r', 'Harmonics_phase_2_r', 'Power_rate_4')",0.013203898705704854,0.010273081776784905,0.005136540888392453
"(0, 1, 3, 5, 8, 9, 10, 11)",[0.89467845 0.90455287 0.87724163 0.91567942 0.90699463],0.8998294005610676,"('Harmonics_phase_2_i', 'SPM_A_Y', 'r-i', 'Period_band_i', 'delta_period_i', 'g-r', 'Harmonics_phase_2_r', 'Power_rate_4')",0.01687224607777232,0.013127180659156735,0.006563590329578367
"(1, 2, 3, 4, 5, 9, 10, 11)",[0.90962283 0.89193707 0.88023321 0.89922454 0.91751308],0.8997061469679055,"('SPM_A_Y', 'Multiband_period', 'r-i', 'i-z', 'Period_band_i', 'g-r', 'Harmonics_phase_2_r', 'Power_rate_4')",0.01680945906202439,0.013078330227804967,0.006539165113902483
"(0, 1, 2, 3, 5, 9, 10, 11)",[0.89721668 0.90285878 0.88170389 0.9029527  0.91164482],0.8992753745267171,"('Harmonics_phase_2_i', 'SPM_A_Y', 'Multiband_period', 'r-i', 'Period_band_i', 'g-r', 'Harmonics_phase_2_r', 'Power_rate_4')",0.012754359482589617,0.009923324988743213,0.0049616624943716065
"(1, 3, 4, 5, 8, 10, 11)",[0.91515456 0.88251807 0.88370008 0.90399405 0.91095966],0.8992652849134993,"('SPM_A_Y', 'r-i', 'i-z', 'Period_band_i', 'delta_period_i', 'Harmonics_phase_2_r', 'Power_rate_4')",0.01756982553786255,0.013669921178380513,0.006834960589190256
"(0, 1, 3, 4, 5, 8, 9, 10, 11)",[0.9007062  0.89390814 0.88555864 0.90804158 0.90735443],0.8991137974385536,"('Harmonics_phase_2_i', 'SPM_A_Y', 'r-i', 'i-z', 'Period_band_i', 'delta_period_i', 'g-r', 'Harmonics_phase_2_r', 'Power_rate_4')",0.010921043873773488,0.008496943160784552,0.004248471580392275
"(0, 1, 2, 9, 11)",[0.9007085  0.91217463 0.88329268 0.89503317 0.90435771],0.8991133378799467,"('Harmonics_phase_2_i', 'SPM_A_Y', 'Multiband_period', 'g-r', 'Power_rate_4')",0.012429317470116004,0.009670431260197003,0.0048352156300985015
