,Feature_0,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Feature_11,Feature_12,Feature_13,Feature_14,Feature_15,Feature_16,Feature_17,Feature_18,Feature_19,Feature_20
CEP,0.3602517812129674,0.6303201252399072,3.221996482870365,591.0054137393806,3.221996482870365,0.0,4.308491389660263,2.778614358555373,3.990208614085739,3.264677510078272,3.1562983040599804,3.7799859234248876,1.1116459622891242,180.0,40.29618272449083,1.0,180.0,180.0,53.946999968976826,18605.405521825673,1087.9391000000032
DSCT,1.1465198541469162,1.2826091766254533,0.08650094830670477,501.6923899051096,0.08600010005962569,0.0,5.655541651585789,4.414583314940045,5.5360180429393,4.503530861423991,2.9020452333877547,5.419333077373448,1.6509498967645229,180.0,3.9269256054459625,1.0,180.0,180.0,2.031958217313562,1061.8280215863408,1080.2612000000008
EB,1.1354035003200549,1.32346076517394,0.3316551198068832,467.9466431891582,0.2930602522973833,0.0,3.1351692339631594,3.151688758357248,3.1319592674992083,3.148539490725786,3.102081515225851,3.1220759897610644,1.4551657078380593,180.0,0.29163986946721876,1.090294220054293,180.0,180.0,0.06250296587190296,33.9833265394556,981.9693999999981
RRL,1.1563401143598906,1.0498956099222672,0.5525995405733668,530.1171115380362,0.5504965668202297,0.0,5.316621380104894,2.7601974172354105,5.107333040523783,2.286368656836145,3.479843058234324,5.009662651675046,1.6468763373381776,180.0,4.966867576393868,1.0,180.0,180.0,4.357724566166537,2986.6796841295472,1081.1834999999992
