feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
"(0, 2, 4, 6, 7, 9, 10, 11)",[0.90825685 0.89045949 0.88733471 0.90224298 0.88906585],0.8954719761823448,"('Harmonics_phase_2_i', 'Multiband_period', 'i-z', 'Harmonics_phase_2_z', 'Harmonics_phase_4_i', 'g-r', 'Harmonics_phase_2_r', 'Power_rate_4')",0.010624902435429441,0.008266535060767194,0.004133267530383597
"(0, 3, 4, 5, 7, 10)",[0.90732469 0.88505185 0.88719195 0.90430139 0.89346965],0.8954679069095569,"('Harmonics_phase_2_i', 'r-i', 'i-z', 'Period_band_i', 'Harmonics_phase_4_i', 'Harmonics_phase_2_r')",0.01149013649922114,0.00893971655749828,0.00446985827874914
"(0, 3, 4, 5, 7, 8, 10)",[0.90732469 0.88505185 0.88719195 0.90430139 0.89346965],0.8954679069095569,"('Harmonics_phase_2_i', 'r-i', 'i-z', 'Period_band_i', 'Harmonics_phase_4_i', 'delta_period_i', 'Harmonics_phase_2_r')",0.01149013649922114,0.00893971655749828,0.00446985827874914
"(1, 3, 5, 6, 10, 11)",[0.90472418 0.9050322  0.90326366 0.88528078 0.87881539],0.8954232408072039,"('SPM_A_Y', 'r-i', 'Period_band_i', 'Harmonics_phase_2_z', 'Harmonics_phase_2_r', 'Power_rate_4')",0.014300871545142847,0.011126563913965298,0.00556328195698265
"(1, 3, 5, 6, 8, 10, 11)",[0.90472418 0.9050322  0.90326366 0.88528078 0.87881539],0.8954232408072039,"('SPM_A_Y', 'r-i', 'Period_band_i', 'Harmonics_phase_2_z', 'delta_period_i', 'Harmonics_phase_2_r', 'Power_rate_4')",0.014300871545142847,0.011126563913965298,0.00556328195698265
"(0, 3, 4, 5, 6, 8, 10)",[0.91737067 0.89075504 0.88181276 0.88779746 0.89926749],0.8954006851604224,"('Harmonics_phase_2_i', 'r-i', 'i-z', 'Period_band_i', 'Harmonics_phase_2_z', 'delta_period_i', 'Harmonics_phase_2_r')",0.01586337928452357,0.01234224801918963,0.006171124009594815
"(0, 3, 4, 5, 6, 10)",[0.91737067 0.89075504 0.88181276 0.88779746 0.89926749],0.8954006851604224,"('Harmonics_phase_2_i', 'r-i', 'i-z', 'Period_band_i', 'Harmonics_phase_2_z', 'Harmonics_phase_2_r')",0.01586337928452357,0.01234224801918963,0.006171124009594815
"(0, 4, 5, 6, 10)",[0.89954965 0.89549265 0.88870785 0.89402663 0.89900032],0.895355421238669,"('Harmonics_phase_2_i', 'i-z', 'Period_band_i', 'Harmonics_phase_2_z', 'Harmonics_phase_2_r')",0.005038980658938148,0.00392049814488074,0.00196024907244037
"(0, 4, 5, 6, 8, 10)",[0.89954965 0.89549265 0.88870785 0.89402663 0.89900032],0.895355421238669,"('Harmonics_phase_2_i', 'i-z', 'Period_band_i', 'Harmonics_phase_2_z', 'delta_period_i', 'Harmonics_phase_2_r')",0.005038980658938148,0.00392049814488074,0.00196024907244037
"(1, 2, 3, 6, 8, 10, 11)",[0.90085801 0.90678045 0.9071997  0.89080741 0.87107836],0.8953447875894325,"('SPM_A_Y', 'Multiband_period', 'r-i', 'Harmonics_phase_2_z', 'delta_period_i', 'Harmonics_phase_2_r', 'Power_rate_4')",0.01735053257541914,0.013499303803431914,0.006749651901715956
