,Feature_0,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Feature_11,Feature_12,Feature_13,Feature_14,Feature_15,Feature_16,Feature_17,Feature_18,Feature_19,Feature_20
CEP,0.3360778997137052,0.3243869174135634,2.3621263782152417,300.2779401261046,2.3577019716309606,0.06885255255539877,1.596261479593687,1.6684275318189732,1.4586694996273593,1.8772327519384235,1.7862638084934683,1.4671625578673952,28.7871697765819,57.59599732121474,787.6827133591926,24.569322571847007,57.04068296946264,58.013051302135835,506.4215779378955,3547563.08848186,51.293042210362195
DSCT,0.6520445220647051,0.6250498001200411,0.042184391051588686,269.6168945141675,0.042192261118001076,0.00487522015210923,0.8970438833837147,1.3630675853286902,1.1370987254123408,1.4881186677289173,1.742998938152395,1.3660657413878763,28.646480330860175,60.231367194206115,38.89911189108332,25.263755481669733,64.8392307280532,65.16604139263215,26.547624586072114,7874426.3554180395,78.83925390206844
EB,0.5878471652454189,1.2682067114688564,2.4939902455971135,280.9290197816055,2.941082375658385,2.6820893901085965,1.1353008087034369,1.306221746320337,1.1114300500810599,1.2229432360893577,2.002517918193622,1.2230014528498225,27.556228884700317,80.11745538133928,14.624533390989225,25.232155156537313,81.66652104974699,80.28360167312002,1.9822665806703668,46511.42881250114,136.29060373470844
RRL,0.2826977645960811,0.2577883915837641,0.1494448361472561,301.31987986494113,0.3166409418249947,0.25640081408191806,0.30231756447947145,1.1271402326820597,0.3819097857007126,1.132984926734037,1.8734203095556456,0.44754294634040304,25.42808202873257,64.5736682319015,11.540752411011544,26.80784256814115,64.30323815945547,67.81020080782018,10.306936748134353,79967571.32025793,76.45461880510511
