feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
"(1, 2, 4, 8, 10, 11)",[0.86655699 0.88376437 0.88078999 0.8428089  0.87750816],0.8702856829719673,"('SPM_A_Y', 'Multiband_period', 'i-z', 'delta_period_i', 'Harmonics_phase_2_r', 'Power_rate_4')",0.01917674889334909,0.01492016214189278,0.00746008107094639
"(1, 2, 3, 4, 5, 6, 8)",[0.86966904 0.89979658 0.86450789 0.85901847 0.85430175],0.8694587474099464,"('SPM_A_Y', 'Multiband_period', 'r-i', 'i-z', 'Period_band_i', 'Harmonics_phase_2_z', 'delta_period_i')",0.020594139145640865,0.016022939912000933,0.008011469956000468
"(0, 1, 2, 3, 4, 5, 8)",[0.86212116 0.88493694 0.86907989 0.87828245 0.84860091],0.8686042706525564,"('Harmonics_phase_2_i', 'SPM_A_Y', 'Multiband_period', 'r-i', 'i-z', 'Period_band_i', 'delta_period_i')",0.016286362643737156,0.012671343442917994,0.006335671721458997
"(1, 2, 4, 8, 10)",[0.86335587 0.88532998 0.87186176 0.84413778 0.8730823 ],0.8675535369933159,"('SPM_A_Y', 'Multiband_period', 'i-z', 'delta_period_i', 'Harmonics_phase_2_r')",0.017538901978482627,0.013645861598598824,0.006822930799299412
"(1, 2, 3, 4, 7, 10, 11)",[0.8555307  0.87554958 0.86753347 0.84473623 0.89174266],0.8670185287117713,"('SPM_A_Y', 'Multiband_period', 'r-i', 'i-z', 'Harmonics_phase_4_i', 'Harmonics_phase_2_r', 'Power_rate_4')",0.02082645517463331,0.016203689675164914,0.008101844837582457
"(1, 2, 4, 6, 10, 11)",[0.86558859 0.88073345 0.87599377 0.83579475 0.87509824],0.8666417577236963,"('SPM_A_Y', 'Multiband_period', 'i-z', 'Harmonics_phase_2_z', 'Harmonics_phase_2_r', 'Power_rate_4')",0.020805798395795955,0.016187617999444667,0.008093808999722334
"(1, 2, 4, 5, 6, 10, 11)",[0.8732204  0.87922531 0.87436498 0.83781086 0.8682458 ],0.8665734695837491,"('SPM_A_Y', 'Multiband_period', 'i-z', 'Period_band_i', 'Harmonics_phase_2_z', 'Harmonics_phase_2_r', 'Power_rate_4')",0.01902094025690651,0.014798937729362834,0.007399468864681417
"(0, 1, 2, 4, 5, 10, 11)",[0.85920704 0.87908233 0.87703056 0.84917278 0.86817248],0.8665330372042149,"('Harmonics_phase_2_i', 'SPM_A_Y', 'Multiband_period', 'i-z', 'Period_band_i', 'Harmonics_phase_2_r', 'Power_rate_4')",0.014374809558007772,0.01118409019991342,0.005592045099956709
"(1, 2, 3, 4, 5, 6, 10, 11)",[0.86678791 0.89024506 0.86612907 0.8390739  0.86955333],0.8663578543795294,"('SPM_A_Y', 'Multiband_period', 'r-i', 'i-z', 'Period_band_i', 'Harmonics_phase_2_z', 'Harmonics_phase_2_r', 'Power_rate_4')",0.020926663417746797,0.01628165509274026,0.00814082754637013
"(1, 2, 3, 4, 7, 8, 10, 11)",[0.85538681 0.87195737 0.8674824  0.84302515 0.89352304],0.8662749535835319,"('SPM_A_Y', 'Multiband_period', 'r-i', 'i-z', 'Harmonics_phase_4_i', 'delta_period_i', 'Harmonics_phase_2_r', 'Power_rate_4')",0.02177656819839053,0.016942909886391556,0.008471454943195778
