,Feature_0,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8
CEP,0.24580916809128922,2.3577019716309606,0.06885255255539877,0.015975800135060572,1.6684275318189732,1.8772327519384235,1.8535537262812982,19388.284385556315,506.4215779378955
DSCT,0.5119818007817677,0.042192261118001076,0.00487522015210923,0.025987030995299885,1.3630675853286902,1.4881186677289173,1.6635900348109114,458.7604644082061,26.547624586072114
EB,0.5457209853312562,2.941082375658385,2.6820893901085965,0.19078948111888858,1.306221746320337,1.2229432360893577,1.3712568486125065,7.795775801213503,1.9822665806703668
RRL,0.32576911125856695,0.3166409418249947,0.25640081408191806,0.0547728487498424,1.1271402326820597,1.132984926734037,1.0020833218108862,26.6830916689029,10.306936748134353
