,Feature_0,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8
CEP,0.12954269315545167,3.221996482870365,0.0,0.0063901133835315704,2.778614358555373,3.264677510078272,3.081184814376996,10.177639564157511,53.946999968976826
DSCT,0.845424892283312,0.08600010005962569,0.0,0.009136855602264404,4.414583314940045,4.503530861423991,4.486504916017568,8.077183963129709,2.031958217313562
EB,0.6518606691667861,0.2930602522973833,0.0,0.1391708254814148,3.151688758357248,3.148539490725786,3.13711163061902,0.2294567600649206,0.06250296587190296
RRL,0.9710016182528158,0.5504965668202297,0.0,0.03984787501394749,2.7601974172354105,2.286368656836145,2.0345294380728256,10.880242862111283,4.357724566166537
