,Feature_0,Feature_1,Feature_2,Feature_3,Feature_4
CEP,0.6303201252399072,3.221996482870365,4.308491389660263,3.990208614085739,18605.405521825673
DSCT,1.2826091766254533,0.08650094830670477,5.655541651585789,5.5360180429393,1061.8280215863408
EB,1.32346076517394,0.3316551198068832,3.1351692339631594,3.1319592674992083,33.9833265394556
RRL,1.0498956099222672,0.5525995405733668,5.316621380104894,5.107333040523783,2986.6796841295472
