,Feature_0,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Feature_11,Feature_12,Feature_13,Feature_14,Feature_15
CEP,0.3602517812129674,0.6303201252399072,3.221996482870365,80.69733191093648,3.221996482870365,0.0,0.0040839058347046375,3.990208614085739,3.264677510078272,3.7799859234248876,10.177639564157511,25.143147651408277,180.0,40.29618272449083,53.946999968976826,15976.269922677546
DSCT,1.1465198541469162,1.2826091766254533,0.08650094830670477,18.721055213284963,0.08600010005962569,0.0,0.007878907024860382,5.5360180429393,4.503530861423991,5.419333077373448,8.077183963129709,5.000940813255097,180.0,3.9269256054459625,2.031958217313562,2386.628224780999
EB,1.1354035003200549,1.32346076517394,0.3316551198068832,19.39371870163751,0.2930602522973833,0.0,0.06140417978167534,3.1319592674992083,3.148539490725786,3.1220759897610644,0.2294567600649206,0.3095298337366226,180.0,0.29163986946721876,0.06250296587190296,100.23945770355476
RRL,1.1563401143598906,1.0498956099222672,0.5525995405733668,42.38158386170127,0.5504965668202297,0.0,0.015579735860228539,5.107333040523783,2.286368656836145,5.009662651675046,10.880242862111283,6.399068287492083,180.0,4.966867576393868,4.357724566166537,4858.9755887343645
