feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
"(1, 2, 4, 5, 6, 7, 8, 11)",[0.92852147 0.94303599 0.93092694 0.93424165 0.93213159],0.9337715289099707,"('SPM_A_Y', 'Multiband_period', 'i-z', 'Period_band_i', 'Harmonics_phase_2_z', 'Harmonics_phase_4_i', 'delta_period_i', 'Power_rate_4')",0.006410897075948663,0.004987895726230967,0.0024939478631154834
"(1, 2, 4, 5, 6, 7, 11)",[0.92849154 0.94477599 0.93258135 0.93238394 0.92810966],0.9332684950212802,"('SPM_A_Y', 'Multiband_period', 'i-z', 'Period_band_i', 'Harmonics_phase_2_z', 'Harmonics_phase_4_i', 'Power_rate_4')",0.007778080299093563,0.006051610721950192,0.003025805360975096
"(1, 2, 3, 4, 5, 6, 7, 8, 11)",[0.9287279  0.94521369 0.92790114 0.93442271 0.92896096],0.9330452809850123,"('SPM_A_Y', 'Multiband_period', 'r-i', 'i-z', 'Period_band_i', 'Harmonics_phase_2_z', 'Harmonics_phase_4_i', 'delta_period_i', 'Power_rate_4')",0.00836429456019937,0.006507705332889274,0.003253852666444637
"(1, 2, 3, 4, 5, 6, 7, 11)",[0.92869009 0.94696232 0.92953161 0.93083706 0.92680493],0.9325651998325384,"('SPM_A_Y', 'Multiband_period', 'r-i', 'i-z', 'Period_band_i', 'Harmonics_phase_2_z', 'Harmonics_phase_4_i', 'Power_rate_4')",0.009403961807657327,0.007316601772632925,0.0036583008863164622
"(1, 2, 3, 4, 5, 7, 8, 10, 11)",[0.93431297 0.94177769 0.93327456 0.91860258 0.93457444],0.9325084496884879,"('SPM_A_Y', 'Multiband_period', 'r-i', 'i-z', 'Period_band_i', 'Harmonics_phase_4_i', 'delta_period_i', 'Harmonics_phase_2_r', 'Power_rate_4')",0.009744563638428983,0.007581601568437788,0.003790800784218894
"(1, 2, 3, 4, 5, 7, 10, 11)",[0.93612704 0.94177769 0.93151998 0.92040886 0.93257796],0.9324823055015891,"('SPM_A_Y', 'Multiband_period', 'r-i', 'i-z', 'Period_band_i', 'Harmonics_phase_4_i', 'Harmonics_phase_2_r', 'Power_rate_4')",0.009022550723644076,0.007019850991369555,0.0035099254956847776
"(0, 1, 2, 3, 4, 5, 7, 8, 11)",[0.91765566 0.93118019 0.93666955 0.94365263 0.9311842 ],0.9320684459748604,"('Harmonics_phase_2_i', 'SPM_A_Y', 'Multiband_period', 'r-i', 'i-z', 'Period_band_i', 'Harmonics_phase_4_i', 'delta_period_i', 'Power_rate_4')",0.010976454898587527,0.008540054820600915,0.004270027410300458
"(0, 1, 2, 3, 4, 5, 7, 11)",[0.91759979 0.92919217 0.93493553 0.94366901 0.93267778],0.9316148549726471,"('Harmonics_phase_2_i', 'SPM_A_Y', 'Multiband_period', 'r-i', 'i-z', 'Period_band_i', 'Harmonics_phase_4_i', 'Power_rate_4')",0.010902279212151523,0.008482343616539876,0.004241171808269938
"(1, 2, 3, 5, 6, 7, 8, 11)",[0.92509645 0.95247508 0.92251917 0.93433499 0.9235102 ],0.9315871783946843,"('SPM_A_Y', 'Multiband_period', 'r-i', 'Period_band_i', 'Harmonics_phase_2_z', 'Harmonics_phase_4_i', 'delta_period_i', 'Power_rate_4')",0.014466816060447247,0.011255674384601861,0.0056278371923009305
"(1, 2, 4, 5, 6, 7, 9, 11)",[0.92306104 0.94145309 0.93670583 0.92575013 0.93084896],0.9315638104118653,"('SPM_A_Y', 'Multiband_period', 'i-z', 'Period_band_i', 'Harmonics_phase_2_z', 'Harmonics_phase_4_i', 'g-r', 'Power_rate_4')",0.008733270571007855,0.0067947812047353465,0.003397390602367673
"(1, 2, 3, 4, 5, 6, 7, 8, 9, 11)",[0.92072257 0.94761705 0.93353353 0.92612149 0.92973594],0.931546115237594,"('SPM_A_Y', 'Multiband_period', 'r-i', 'i-z', 'Period_band_i', 'Harmonics_phase_2_z', 'Harmonics_phase_4_i', 'delta_period_i', 'g-r', 'Power_rate_4')",0.011668251246650536,0.009078295882194479,0.004539147941097239
"(1, 2, 3, 4, 5, 6, 7, 9, 11)",[0.92247627 0.94583688 0.93353353 0.92616233 0.92955523],0.9315128496588787,"('SPM_A_Y', 'Multiband_period', 'r-i', 'i-z', 'Period_band_i', 'Harmonics_phase_2_z', 'Harmonics_phase_4_i', 'g-r', 'Power_rate_4')",0.010336505786624324,0.008042152670129372,0.004021076335064686
"(1, 2, 4, 5, 7, 8, 10, 11)",[0.93221977 0.9413937  0.93300969 0.92003907 0.93028955],0.9313903564888371,"('SPM_A_Y', 'Multiband_period', 'i-z', 'Period_band_i', 'Harmonics_phase_4_i', 'delta_period_i', 'Harmonics_phase_2_r', 'Power_rate_4')",0.00878222681050393,0.00683287082228215,0.003416435411141075
"(1, 2, 5, 6, 7, 8, 9, 11)",[0.92494179 0.94357633 0.92969789 0.93105202 0.92707968],0.931269540800608,"('SPM_A_Y', 'Multiband_period', 'Period_band_i', 'Harmonics_phase_2_z', 'Harmonics_phase_4_i', 'delta_period_i', 'g-r', 'Power_rate_4')",0.008360711299001304,0.0065049174339409585,0.003252458716970479
"(1, 2, 5, 6, 7, 9, 11)",[0.92673805 0.94349171 0.92969789 0.93286381 0.92301854],0.9311620009613714,"('SPM_A_Y', 'Multiband_period', 'Period_band_i', 'Harmonics_phase_2_z', 'Harmonics_phase_4_i', 'g-r', 'Power_rate_4')",0.00895929536727324,0.006970636175101957,0.003485318087550978
"(1, 2, 4, 5, 7, 10, 11)",[0.93404989 0.94311736 0.93123028 0.91633545 0.9300108 ],0.930948753743384,"('SPM_A_Y', 'Multiband_period', 'i-z', 'Period_band_i', 'Harmonics_phase_4_i', 'Harmonics_phase_2_r', 'Power_rate_4')",0.011089306578102982,0.008627857261239824,0.004313928630619911
"(0, 1, 2, 4, 5, 7, 11)",[0.9134951  0.93033486 0.93832794 0.93592322 0.93572766],0.9307617577482017,"('Harmonics_phase_2_i', 'SPM_A_Y', 'Multiband_period', 'i-z', 'Period_band_i', 'Harmonics_phase_4_i', 'Power_rate_4')",0.01159425937666443,0.009020727693576364,0.004510363846788181
"(1, 2, 5, 6, 7, 8, 11)",[0.93026025 0.94109227 0.92884963 0.92870314 0.92425157],0.9306313701449346,"('SPM_A_Y', 'Multiband_period', 'Period_band_i', 'Harmonics_phase_2_z', 'Harmonics_phase_4_i', 'delta_period_i', 'Power_rate_4')",0.007205947123239636,0.0056064716737219905,0.0028032358368609953
"(1, 2, 4, 5, 6, 7, 8, 9, 11)",[0.92127037 0.93970342 0.93666854 0.92394124 0.93102277],0.9305212686392119,"('SPM_A_Y', 'Multiband_period', 'i-z', 'Period_band_i', 'Harmonics_phase_2_z', 'Harmonics_phase_4_i', 'delta_period_i', 'g-r', 'Power_rate_4')",0.00911068011881206,0.007088418654881555,0.0035442093274407776
