,Feature_0,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7
CEP,0.12954269315545167,0.3602517812129674,3.221996482870365,0.0063901133835315704,4.308491389660263,3.081184814376996,53.946999968976826,180.0
DSCT,0.845424892283312,1.1465198541469162,0.08650094830670477,0.009136855602264404,5.655541651585789,4.486504916017568,2.031958217313562,180.0
EB,0.6518606691667861,1.1354035003200549,0.3316551198068832,0.1391708254814148,3.1351692339631594,3.13711163061902,0.06250296587190296,80.45462609976445
RRL,0.9710016182528158,1.1563401143598906,0.5525995405733668,0.03984787501394749,5.316621380104894,2.0345294380728256,4.357724566166537,180.0
