,object,LSST_I,LSST_I_e,LSST_I_w,LSST_Z,LSST_Z_e,LSST_Z_w,LSST_Y,LSST_Y_e,LSST_Y_w,ROMAN_F087,ROMAN_F087_e,ROMAN_F087_w,ROMAN_F106,ROMAN_F106_e,ROMAN_F106_w,ROMAN_F129,ROMAN_F129_e,ROMAN_F129_w,ROMAN_F158,ROMAN_F158_e,ROMAN_F158_w,ROMAN_F184,ROMAN_F184_e,ROMAN_F184_w,SpT,Spt_num,z-y,z-Y,z-J,z-H,z-K,y-Y,y-J,y-H,y-K,Y-J,Y-H,Y-K,J-H,J-K,H-K
0,b'0000-4614',,,1.0,34.7289628701862,1.681595454486655,0.0,28.676538653091633,0.008839558722058688,0.0,,,1.0,28.0263669605187,0.014690772720073618,0.0,27.375686676568396,0.005509624663826146,0.0,27.91727447873983,0.005856758633800687,0.0,28.773639423997768,0.0172183542997033,0.0,b'T7',87.0,6.052424217094568,6.702595909667501,7.3532761936178055,6.811688391446371,5.955323446188434,0.6501716925729326,1.3008519765232371,0.7592641743518023,-0.09710077090613467,0.6506802839503045,0.10909248177886965,-0.7472724634790673,-0.5415878021714349,-1.3979527474293718,-0.8563649452579369
1,b'0001-0613',,,1.0,30.565066773939197,0.027303177684116903,0.0,29.13074976306154,0.0027717533547624395,0.0,,,1.0,28.53131969902838,0.00872337272498997,0.0,27.961110665093962,0.00695305389314641,0.0,28.269883125766814,0.012608258238285895,0.0,28.806838990672595,0.03409950265109018,0.0,b'T4',84.0,1.4343170108776562,2.033747074910817,2.603956108845235,2.295183648172383,1.7582277832666016,0.5994300640331609,1.169639097967579,0.8608666372947269,0.3239107723889454,0.5702090339344181,0.261436573261566,-0.2755192916442155,-0.30877246067285213,-0.8457283255786336,-0.5369558649057815
2,b'0003-7533',,,1.0,30.836992565115793,,0.0,28.672317477035193,0.0013320602684843354,0.0,,,1.0,28.14698046266285,0.0027089346343748236,0.0,27.897808534268687,0.0020522897452532043,0.0,28.089228141802906,,0.0,28.519375415566202,,0.0,b'T3',83.0,2.1646750880805996,2.6900121024529433,2.9391840308471053,2.747764423312887,2.3176171495495907,0.5253370143723437,0.7745089427665057,0.5830893352322875,0.15294206146899114,0.24917192839416202,0.05775232085994375,-0.37239495290335256,-0.19141960753421827,-0.6215668812975146,-0.4301472737632963
3,b'0011-0521B',,,1.0,29.98787987301987,0.010609672488295571,0.0,29.553060256797494,0.004189204987974381,0.0,,,1.0,29.01430348189416,0.012460841113704466,0.0,28.310803017339143,0.007412254572896678,0.0,27.98705063989044,0.009845062176542836,0.0,27.97891754031091,0.014785884445809853,0.0,b'L1',71.0,0.4348196162223772,0.9735763911257109,1.6770768556807276,2.00082923312943,2.008962332708961,0.5387567749033337,1.2422572394583504,1.5660096169070528,1.574142716486584,0.7035004645550167,1.027252842003719,1.0353859415832503,0.32375237744870233,0.33188547702823357,0.008133099579531233
4,b'0012+5159',28.89534318869738,0.003259815054952561,0.0,27.32261253312704,0.0008649073367527518,0.0,26.337395064747522,0.00044572934461389104,0.0,27.174717908484162,0.003638998287932867,0.0,25.907009663697234,0.0012378314806212212,0.0,25.468251678803433,0.0011804759877005794,0.0,25.299594118589106,0.00103966182131777,0.0,25.3345087083485,0.0016998650966662619,0.0,b'L1',71.0,0.985217468379517,1.4156028694298044,1.8543608543236054,2.0230184145379333,1.9881038247785376,0.43038540105028744,0.8691433859440885,1.0378009461584163,1.0028863563990207,0.438757984893801,0.6074155451081289,0.5725009553487332,0.16865756021432787,0.13374297045493222,-0.03491458975939565
5,b'0018+5650',,,1.0,30.32839485138779,0.01724324116497719,0.0,28.56734458361678,0.003245787043940512,0.0,,,1.0,28.086791692895137,0.011671322921478627,0.0,27.556929615985677,0.011420234215107216,0.0,27.680723254881784,0.018590042959288545,0.0,27.95500662051628,0.03722513089065063,0.0,b'T4',84.0,1.7610502677710116,2.241603158492655,2.7714652354021148,2.647671596506008,2.3733882308715124,0.4805528907216434,1.0104149676311032,0.8866213287349964,0.6123379631005008,0.5298620769094597,0.406068438013353,0.1317850723788574,-0.12379363889610673,-0.39807700453060235,-0.2742833656344956
6,b'0022-0652',,,1.0,30.228552811169358,0.008594117905192116,0.0,28.92292701215466,0.007696193202254212,0.0,,,1.0,28.319612154352768,0.02438359619445083,0.0,27.744601208178914,0.02498017155443149,0.0,27.613434080855427,0.02245732567259256,0.0,27.799741417798927,0.023709001985116735,0.0,b'T3',83.0,1.3056257990146989,1.9089406568165899,2.4839516029904445,2.615118730313931,2.428811393370431,0.603314857801891,1.1783258039757456,1.309492931299232,1.123185594355732,0.5750109461738546,0.7061780734973411,0.5198707365538411,0.13116712732348645,-0.055140209620013536,-0.1863073369435
7,b'0025-1346',,,1.0,28.483778361690568,0.006836846665900421,0.0,27.504976566389022,0.001998380867574773,0.0,,,1.0,27.05269747415807,0.0061210653700192385,0.0,26.556653038060254,0.006913169619277868,0.0,26.342634467176048,0.005844110891486877,0.0,26.410875902219292,0.013146285105649932,0.0,b'L1',71.0,0.9788017953015462,1.4310808875324987,1.9271253236303139,2.1411438945145207,2.072902459471276,0.45227909223095253,0.9483235283287677,1.1623420992129745,1.09410066416973,0.4960444360978151,0.710063006982022,0.6418215719387774,0.21401857088420684,0.1457771358409623,-0.06824143504324454
8,b'0029-3119',,,1.0,28.563427537187536,0.005377944707460253,0.0,27.55878665657334,,0.0,,,1.0,27.092915196117158,,0.0,26.565237230835905,0.0067551731406304705,0.0,26.308823827577534,0.005872935083147837,0.0,26.338380461246796,0.015909489510781385,0.0,b'L1',71.0,1.0046408806141969,1.4705123410703784,1.9981903063516313,2.2546037096100022,2.22504707594074,0.46587146045618155,0.9935494257374344,1.2499628289958054,1.220406195326543,0.5276779652812529,0.7840913685396238,0.7545347348703615,0.2564134032583709,0.2268567695891086,-0.02955663366926231
9,b'0041-4019',,,1.0,,,1.0,28.45436918053059,0.0067320195178023545,0.0,,,1.0,,,1.0,27.293799157685225,0.016450340670290553,0.0,27.681281498802043,0.01553523329503044,0.0,28.244110054590237,0.031996209789685766,0.0,b'T8',88.0,,,,,,,1.1605700228453664,0.7730876817285477,0.2102591259403539,,,,-0.3874823411168187,-0.9503108969050125,-0.5628285557881938
