,Feature_0,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Feature_11
CEP,0.12954269315545167,0.0,0.0063901133835315704,3.081184814376996,3.3291241695182325,2.943503658905078,180.0,180.0,180.0,180.0,53.946999968976826,15976.269922677546
DSCT,0.845424892283312,0.0,0.009136855602264404,4.486504916017568,3.661497389857253,3.004808384348401,180.0,180.0,180.0,180.0,2.031958217313562,2386.628224780999
EB,0.6518606691667861,0.0,0.1391708254814148,3.13711163061902,2.769912667637497,3.0021933180443376,142.10261710865234,180.0,180.0,180.0,0.06250296587190296,100.23945770355476
RRL,0.9710016182528158,0.0,0.03984787501394749,2.0345294380728256,1.7642388481749243,3.8768900480037782,180.0,180.0,180.0,180.0,4.357724566166537,4858.9755887343645
