,Feature_0,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8
CEP,0.12954269315545167,0.6303201252399072,3.221996482870365,0.004325061105191708,4.308491389660263,3.990208614085739,3.7799859234248876,53.946999968976826,18605.405521825673
DSCT,0.845424892283312,1.2826091766254533,0.08600010005962569,0.007366718724370003,5.655541651585789,5.5360180429393,5.419333077373448,2.031958217313562,1061.8280215863408
EB,0.6518606691667861,1.32346076517394,0.2930602522973833,0.06815482676029205,3.1351692339631594,3.1319592674992083,3.1220759897610644,0.06250296587190296,33.9833265394556
RRL,0.9710016182528158,1.0498956099222672,0.5504965668202297,0.014848864171653986,5.316621380104894,5.107333040523783,5.009662651675046,4.357724566166537,2986.6796841295472
