,Feature_0,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8
CEP,0.3360778997137052,2.3621263782152417,0.013000894676162193,1.596261479593687,1.4586694996273593,1.8772327519384235,24.569322571847007,26.578046196218295,685335.6006082612
DSCT,0.6520445220647051,0.042184391051588686,0.011476667182062205,0.8970438833837147,1.1370987254123408,1.4881186677289173,25.263755481669733,28.330831454529232,1881296900.6173277
EB,0.5878471652454189,2.4939902455971135,0.13742552723280388,1.1353008087034369,1.1114300500810599,1.2229432360893577,25.232155156537313,22.051817376414697,15000.773667069996
RRL,0.2826977645960811,0.1494448361472561,0.03978141361273388,0.30231756447947145,0.3819097857007126,1.132984926734037,26.80784256814115,29.47131293436525,32432793121.083313
