,Feature_0,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8
CEP,0.3602517812129674,3.221996482870365,0.005470577627420425,4.308491389660263,3.990208614085739,3.264677510078272,1.0,1.0000505621523317,9058.531191270251
DSCT,1.1465198541469162,0.08650094830670477,0.007674656808376312,5.655541651585789,5.5360180429393,4.503530861423991,1.0,1.047543733586572,4810.651797023175
EB,1.1354035003200549,0.3316551198068832,0.08608852699398994,3.1351692339631594,3.1319592674992083,3.148539490725786,1.090294220054293,1.6139278621065074,177.71860743781025
RRL,1.1563401143598906,0.5525995405733668,0.023421119898557663,5.316621380104894,5.107333040523783,2.286368656836145,1.0,1.1616934336709477,8161.931523541898
